20/06/2014 02:13:55 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 02:13:58 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por eduardo
20/06/2014 02:14:05 INFO Lita de tipos de Item del proyecto P3, hecho por eduardo
20/06/2014 02:14:18 INFO Listado de Tipos de Atributo de Proyecto P3, hecho por eduardo
20/06/2014 02:14:29 INFO Tipo de Atributo cantidad importdo al proyecto P2, hecho por eduardo
20/06/2014 02:14:31 INFO Listado de Tipos de Atributo de Proyecto P3, hecho por eduardo
20/06/2014 02:14:48 INFO Tipo de Atributo nombre importdo al proyecto P2, hecho por eduardo
20/06/2014 02:15:12 INFO Creacion de tipo de atributo Requerimiento de proyecto P3, hecho por eduardo
20/06/2014 02:15:38 INFO Gestion de tipo de item Requerimiento de proyecto P3, hecho por eduardo
20/06/2014 02:15:46 INFO Gestion de tipo de item Requerimiento de proyecto P3, hecho por eduardo
20/06/2014 02:15:54 INFO Gestion de tipo de item Requerimiento de proyecto P3, hecho por eduardo
20/06/2014 02:16:01 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por eduardo
20/06/2014 02:16:05 INFO Lita de tipos de Item del proyecto P3, hecho por eduardo
20/06/2014 02:16:39 INFO Lita de tipos de Item del proyecto P3, hecho por eduardo
20/06/2014 02:17:58 INFO Administracion de Lineas Base de fase F1 del proyecto P3, hecho por eduardo
20/06/2014 02:18:20 INFO Generacion de Linea Base 1 de la fase F1 del proyecto P3, hecho por eduardo
20/06/2014 02:18:22 INFO Administracion de Lineas Base de fase F1 del proyecto P3, hecho por eduardo
20/06/2014 02:23:22 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por eduardo
20/06/2014 02:23:27 INFO Lita de tipos de Item del proyecto P3, hecho por eduardo
20/06/2014 02:23:57 INFO Lita de tipos de Item del proyecto P3, hecho por eduardo
20/06/2014 02:24:28 INFO Administracion de Relaciones del item item123, hecho por eduardo
20/06/2014 02:24:29 INFO Lista de items relacionados con el item item123, hecho por eduardo
20/06/2014 02:24:35 INFO Crear relacion de item item123 con el item item113, hecho por eduardo
20/06/2014 02:24:40 INFO Administracion de Relaciones del item item223, hecho por eduardo
20/06/2014 02:24:43 INFO Lista de items relacionados con el item item223, hecho por eduardo
20/06/2014 02:24:47 INFO Crear relacion de item item223 con el item item123, hecho por eduardo
20/06/2014 02:25:37 INFO Administracion de Lineas Base de fase F2 del proyecto P3, hecho por eduardo
20/06/2014 02:26:00 INFO Generacion de Linea Base 1 de la fase F2 del proyecto P3, hecho por eduardo
20/06/2014 02:26:02 INFO Administracion de Lineas Base de fase F2 del proyecto P3, hecho por eduardo
20/06/2014 02:26:04 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por eduardo
20/06/2014 02:26:14 INFO Lita de tipos de Item del proyecto P3, hecho por eduardo
20/06/2014 02:27:24 INFO Administracion de Relaciones del item item133, hecho por eduardo
20/06/2014 02:27:26 INFO Lista de items relacionados con el item item133, hecho por eduardo
20/06/2014 02:27:32 INFO Crear relacion de item item133 con el item item123, hecho por eduardo
20/06/2014 02:27:39 INFO Administracion de Relaciones del item item133, hecho por eduardo
20/06/2014 02:28:55 INFO Administracion de Lineas Base de fase F3 del proyecto P3, hecho por eduardo
20/06/2014 02:29:11 INFO Generacion de Linea Base 1 de la fase F3 del proyecto P3, hecho por eduardo
20/06/2014 02:29:13 INFO Administracion de Lineas Base de fase F3 del proyecto P3, hecho por eduardo
20/06/2014 02:29:19 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por eduardo
20/06/2014 02:29:45 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por eduardo
20/06/2014 02:29:58 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por eduardo
20/06/2014 02:30:08 INFO Administracion de Lineas Base de fase F2 del proyecto P3, hecho por eduardo
20/06/2014 02:30:25 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 02:30:29 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por eduardo
20/06/2014 02:33:52 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 02:33:59 INFO Logout de Usuario 
20/06/2014 02:34:03 INFO Login de Usuario ysapy
20/06/2014 02:34:03 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:34:07 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 02:34:36 INFO Creacion de Solicitud de cambio id 1, hecho por ysapy
20/06/2014 02:34:44 INFO Calculo del impacto del item item112 de la fase F1 del proyecto P2, hecho por ysapy
20/06/2014 02:35:24 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:35:37 INFO Listado de Solicitudes recibidas, hecho por ysapy
20/06/2014 02:35:48 INFO Votacion de solicitud con id 1, hecho por ysapy
20/06/2014 02:35:58 INFO Listado de solicitudes realizadas, hecho por ysapy
20/06/2014 02:37:50 INFO Login de Usuario ysapy
20/06/2014 02:37:51 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:37:53 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 02:38:26 INFO Creacion de Solicitud de cambio id 1, hecho por ysapy
20/06/2014 02:39:18 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:42:25 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por ysapy
20/06/2014 02:42:37 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por ysapy
